"origin","station_id","name","top_destination","state","status"
"1","7171"," Bharuch (bypass)","0","","0"
"2","18918"," DVC Chowk Gola","0","","0"
"3","16234","10 Dol (Rajasthan)","0","","0"
"4","17644","11 Maruti Kolhapur Package","0","","0"
"5","16235","12 Mld-A (Rajasthan)","0","","0"
"6","19143","22 G.b (rajasthan)","0","","0"
"7","16200","22 Ptd A (Rajasthan)","0","","0"
"8","15302","26 Bb, Rajasthan","0","","0"
"9","9893","26th Mile(kerala)","0","","0"
"10","15304","29BB, Rajasthan","0","","0"
"11","19144","32 Ml (rajasthan)","0","","0"
"12","16230","33 Bb (Rajasthan)","0","","0"
"13","16231","36 Bb (Rajasthan)","0","","0"
"14","16326","4 Sps Salempura (Rajasthan)","0","","0"
"15","17330","4th Mile Masjid (kerala)","0","","0"
"16","21934","53 Mile (Himachal Pradesh)","0","","0"
"17","16171","6P (Rajasthan)","0","","0"
"18","16652","8 Incline Colony (telangana)","0","","0"
"19","800","A K Pora","0","","0"
"20","3377","A.i .area","0","","0"
"21","1669","A.konduru","0","","0"
"22","25","A.r.t.c. Diphu","0","","0"
"23","3436","A.S.Peta","0","","0"
"24","6120","Aachara","0","","0"
"25","9566","Aade(maharashtra)","0","","0"
"26","10673","Aadivare","0","","0"
"27","5343","Aadsar","0","","0"
"28","22242","Aalamuru","0","","0"
"29","5898","Aamaran","0","","0"
"30","10173","Aambala (Gujarat)","0","","0"
"31","15298","Aandhi, Rajasthan","0","","0"
"32","13572","Aanjangaon","0","","0"
"33","10993","Aansodar (gujarat)","0","","0"
"34","12302","Aantra","0","","0"
"35","18809","Aaravli","0","","0"
"36","5494","Aarni","0","","0"
"37","5570","Aaspura","0","","0"
"38","18764","Aaspura","0","","0"
"39","9707","Aathankarai","0","","0"
"40","17483","Aatoor","0","","0"
"41","11104","Aau (Phalodi)","0","","0"
"42","10488","Aauwa","0","","0"
"43","8411","Aavanam Kaikaati","0","","0"
"44","17063","Abbigeri (karnataka)","0","","0"
"45","7773","Abdasan","0","","0"
"46","9485","Abdul Lat","0","","0"
